Карта;Цена (Сила/Интуиция/Ловкость/Выносливость);Действие;Группа;Технический ключ;Параметры эффекта;Активна (1/0)
Прямой удар;1/0/0/0;Наносит 1d4 + Сила урона;Удары;straight_punch;кубик 1d4;1
Жёсткий хук;1/0/1/0;Наносит 1d4 + Сила урона, следующий урон +1;Удары;hard_hook;кубик 1d4, следующий урон +1;1
Удар в корпус;1/1/0/0;Наносит 1d3 + Сила урона;Удары;body_shot;кубик 1d3;1
Тяжёлый замах;2/0/0/0;Наносит 1d6 + Сила урона;Удары;heavy_swing;кубик 1d6;1
Короткий таран;1/0/0/1;Наносит 1d4 + Сила урона и снижает защиту на 2;Удары;short_ram;кубик 1d4, снижение защиты 2;1
Разящий тычок;1/1/0/0;Наносит 1d4 + Сила урона, критический бонус +10;Удары;piercing_jab;кубик 1d4, критический бонус 10;1
Серия джебов;1/2/0/0;Наносит урон два раза по 1d2 + Сила;Удары;jab_series;кубик 1d2, 2 попадания;1
Сбитый ритм;1/1/1/0;Наносит 1d4 + Сила урона и снижает защиту на 2;Удары;broken_rhythm;кубик 1d4, снижение защиты 2;1
Разбивающий хук;2/0/1/1;Наносит 1d6 + Сила урона, бонус урона крита +2;Удары;breaking_hook;кубик 1d6, бонус крита 2;1
Сокрушающий локоть;2/1/0/1;Наносит 1d6 + Сила урона и снижает уклонение на 10;Удары;crushing_elbow;кубик 1d6, снижение уклонения 10;1
Кровавый удар;3/0/0/0;Наносит 2d6 + Сила урона, отдача владельцу 2 HP;Удары;bloody_blow;кубик 2d6, отдача 2 HP;1
Слепой натиск;2/1/1/0;Наносит 1d8 + Сила урона, снижает своё уклонение на 10;Удары;blind_assault;кубик 1d8, снижение своего уклонения 10;1
Ломающий выпад;2/1/0/1;Наносит 2d4 + Сила урона;Удары;breaking_lunge;кубик 2d4;1
Сокрушающий удар;3/0/0/1;Наносит 2d8 + Сила урона;Удары;crushing_blow;кубик 2d8;1
Удар титана;4/0/0/0;Наносит 3d8 + Сила урона, занимает всё действие;Удары;titan_blow;кубик 3d8, одно действие;1
Уклонение в тень;0/0/3/0;Даёт +30 к уклонению на ход;Ловкачи;shadow_dodge;бонус уклонения 30;1
Лёгкий шаг;0/1/2/0;Даёт +15 к уклонению на 2 хода;Ловкачи;light_step;бонус уклонения 15, длительность 2;1
Скользящий манёвр;0/0/3/0;Даёт +20 к уклонению на ход;Ловкачи;sliding_maneuver;бонус уклонения 20;1
Танец между ударами;0/1/2/0;Даёт +10 к уклонению на 2 хода;Ловкачи;dance_between_blows;бонус уклонения 10, длительность 2;1
Срыв прицела;0/2/1/0;Даёт +20 к уклонению на ход;Ловкачи;aim_disruption;бонус уклонения 20;1
Прицельный удар;1/2/0/0;Наносит 1d4 + Сила урона, критический бонус +15;Критовики;aimed_strike;кубик 1d4, критический бонус 15;1
Меткий расчёт;0/3/1/0;Даёт +25 к шансу крита;Критовики;precise_calculation;бонус крита 25;1
Острый взгляд;0/3/0/0;Даёт +15 к шансу крита на 2 хода;Критовики;sharp_eye;бонус крита 15, длительность 2;1
Удар в слабое место;1/2/1/0;Наносит 1d6 + Сила урона, множитель крита x1.5;Критовики;weak_point;кубик 1d6, множитель крита 1.5;1
Сфокусированный рывок;0/2/2/0;Даёт +20 к шансу крита;Критовики;focused_lunge;бонус крита 20;1
Лёгкая стойка;1/0/0/2;Снижает получаемый урон до 50%;Выносливость;light_stance;коэффициент урона 0.5;1
Стальная стойка;0/0/0/3;Снижает получаемый урон до 30%;Выносливость;steel_stance;коэффициент урона 0.3;1
Каменная стойка;0/1/0/3;Снижает получаемый урон до 70% на 2 хода;Выносливость;stone_stance;коэффициент урона 0.7, длительность 2;1
Восстановление духа;0/1/0/2;Восстанавливает 1d6 HP;Выносливость;spirit_recovery;кубик лечения 1d6;1
Неодолимый блок;1/0/0/4;Полностью блокирует урон на 1 ход;Выносливость;unyielding_block;коэффициент урона 0, длительность 1;1
